ORG_ID,SUPPLIER_NAME,WATER_SYSTEM_ID,COUNTY,HYDRO_REGION,CLIMATE_ZONE,REPORT_PERIOD_START_DATE,REPORT_PERIOD_END_DATE,Shortage Level,DWR_STANDARD_LEVEL
522,City of Ceres,CA5010028,STANISLAUS,San Joaquin River,12,3/1/24,3/31/24,2,2 (10-19% Shortage)
524,City of Cerritos,CA1910019,LOS ANGELES,South Coast,8,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
545,City of Chino,CA3610012,SAN BERNARDINO,South Coast,10,3/1/24,3/31/24,2,2 (10-19% Shortage)
547,City of Chino Hills,CA3610036,SAN BERNARDINO,South Coast,10,3/1/24,3/31/24,2,2 (10-19% Shortage)
561,Citrus Heights Water District,CA3410006,SACRAMENTO,Sacramento River,12,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
572,City of Cloverdale,CA4910002,SONOMA,North Coast,2,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
574,City of Clovis,CA1010003,FRESNO,Tulare Lake,13,3/1/24,3/31/24,2,2 (10-19% Shortage)
575,City of Coachella,CA3310007,RIVERSIDE,Colorado River,15,3/1/24,3/31/24,NA,Not Applicable
577,Coachella Valley Water District,"CA3310001,CA3310048",RIVERSIDE,Colorado River,15,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
578,City of Coalinga,CA1010004,FRESNO,Tulare Lake,13,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
583,Coastside County Water District,CA4110011,SAN MATEO,San Francisco Bay,3,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
596,City of Colton,CA3610014,SAN BERNARDINO,South Coast,10,3/1/24,3/31/24,3,3 (20-29% Shortage)
607,City of Compton,CA1910026,LOS ANGELES,South Coast,8,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
613,Contra Costa Water District,CA0710003,CONTRA COSTA,San Francisco Bay,12,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
618,City of Corcoran,CA1610004,KINGS,Tulare Lake,13,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
624,City of Corona,CA3310037,RIVERSIDE,South Coast,10,3/1/24,3/31/24,2,2 (10-19% Shortage)
644,City of Covina,CA1910127,LOS ANGELES,South Coast,9,3/1/24,3/31/24,2,2 (10-19% Shortage)
649,Crescent City,CA0810001,DEL NORTE,North Coast,1,3/1/24,3/31/24,2,2 (10-19% Shortage)
651,Crescenta Valley Community Water District,CA1910028,LOS ANGELES,South Coast,9,3/1/24,3/31/24,2,2 (10-19% Shortage)
654,Crestline Village Water District,CA3610015,SAN BERNARDINO,South Lahontan,16,3/1/24,3/31/24,NA,Not Applicable
664,Cucamonga Valley Water District,CA3610018,SAN BERNARDINO,South Coast,10,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
673,Daly City,CA4110013,SAN MATEO,San Francisco Bay,3,3/1/24,3/31/24,2,2 (10-19% Shortage)
678,City of Davis,CA5710001,YOLO,Sacramento River,12,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
699,Del Oro Water Company,CA0410011,BUTTE,Sacramento River,11,3/1/24,3/31/24,2,2 (10-19% Shortage)
711,City of Delano,CA1510005,KERN,Tulare Lake,13,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
727,Desert Water Agency,CA3310005,RIVERSIDE,Colorado River,15,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
731,Diablo Water District,CA0710007,CONTRA COSTA,San Joaquin River,12,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
737,City of Dinuba,CA5410002,TULARE,Tulare Lake,13,3/1/24,3/31/24,2,2 (10-19% Shortage)
739,Discovery Bay Community Services District,CA0710009,CONTRA COSTA,San Joaquin River,12,3/1/24,3/31/24,NA,Not Applicable
748,City of Downey,CA1910034,LOS ANGELES,South Coast,8,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
759,Dublin San Ramon Services District,CA0110009,ALAMEDA,San Francisco Bay,12,3/1/24,3/31/24,2,2 (10-19% Shortage)
775,East Bay Municipal Utility District,CA0110005,ALAMEDA,San Francisco Bay,3,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
784,East Niles Community Services District,CA1510006,KERN,Tulare Lake,13,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
787,City of East Palo Alto,CA4110024,SAN MATEO,San Francisco Bay,3,3/1/24,3/31/24,NA,Not Applicable
793,East Valley Water District,CA3610064,SAN BERNARDINO,South Coast,10,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
794,Eastern Municipal Water District,CA3310009,RIVERSIDE,South Coast,10,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
814,City of El Centro,CA1310004,IMPERIAL,Colorado River,15,3/1/24,3/31/24,NA,Not Applicable
816,El Dorado Irrigation District,"CA0910001,CA0910017,CA0910018",EL DORADO,Sacramento River,12,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
821,City of El Monte,CA1910038,LOS ANGELES,South Coast,9,3/1/24,3/31/24,3,3 (20-29% Shortage)
827,City of El Segundo,CA1910040,LOS ANGELES,South Coast,6,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
830,El Toro Water District,CA3010079,ORANGE,South Coast,8,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
835,Elk Grove Water District,CA3410008,SACRAMENTO,Sacramento River,12,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
842,Elsinore Valley Municipal Water District,CA3310012,RIVERSIDE,South Coast,10,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
851,City of Escondido,CA3710006,SAN DIEGO,South Coast,10,3/1/24,3/31/24,NA,Not Applicable
856,Estero Municipal Improvement District,CA4110021,SAN MATEO,San Francisco Bay,3,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
859,City of Eureka,CA1210004,HUMBOLDT,North Coast,1,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
863,City of Exeter,CA5410003,TULARE,Tulare Lake,13,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
866,Fair Oaks Water District,CA3410009,SACRAMENTO,Sacramento River,12,3/1/24,3/31/24,2,2 (10-19% Shortage)
867,City of Fairfield,CA4810003,SOLANO,Sacramento River,12,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
873,Fallbrook Public Utility District,CA3710008,SAN DIEGO,South Coast,10,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
890,City of Fillmore,CA5610002,VENTURA,South Coast,9,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
904,City of Folsom,"CA3410014,CA3410030",SACRAMENTO,Sacramento River,12,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
920,City of Fortuna,CA1210006,HUMBOLDT,North Coast,1,3/1/24,3/31/24,3,3 (20-29% Shortage)
924,City of Fountain Valley,CA3010069,ORANGE,South Coast,6,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
934,City of Fresno,CA1010007,FRESNO,Tulare Lake,13,3/1/24,3/31/24,2,2 (10-19% Shortage)
967,City of Fullerton,CA3010010,ORANGE,South Coast,8,3/1/24,3/31/24,2,2 (10-19% Shortage)
972,City of Galt,CA3410011,SACRAMENTO,Sacramento River,12,3/1/24,3/31/24,NA,Not Applicable
977,City of Garden Grove,CA3010062,ORANGE,South Coast,8,3/1/24,3/31/24,2,2 (10-19% Shortage)
990,Georgetown Divide Public Utility District,CA0910013,EL DORADO,Sacramento River,12,3/1/24,3/31/24,0,0 (No Shortage Level Invoked)
995,City of Gilroy,CA4310004,SANTA CLARA,Central Coast,4,3/1/24,3/31/24,2,2 (10-19% Shortage)
1004,City of Glendale,CA1910043,LOS ANGELES,South Coast,9,3/1/24,3/31/24,3,3 (20-29% Shortage)
1005,City of Glendora,CA1910044,LOS ANGELES,South Coast,9,3/1/24,3/31/24,3,3 (20-29% Shortage)
1029,Golden State Water Company - Artesia,CA1910004,LOS ANGELES,South Coast,8,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
1030,Golden State Water Company - Barstow,CA3610043,SAN BERNARDINO,South Lahontan,14,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
1031,Golden State Water Company - Bay Point,CA0710002,CONTRA COSTA,San Francisco Bay,12,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
1032,Golden State Water Company - Bell-Bell Gardens,CA1910011,LOS ANGELES,South Coast,8,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
1034,Golden State Water Company - Claremont,CA1910024,LOS ANGELES,South Coast,9,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
1036,Golden State Water Company - Cordova,CA3410015,SACRAMENTO,Sacramento River,12,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
1038,Golden State Water Company - Culver City,CA1910030,LOS ANGELES,South Coast,8,3/1/24,3/31/24,1,1 (Less than 10% Shortage)
